"CPI Risk, Finance & Governance",certified,Management and Financial Consulting,bcorporation.net/directory/cpi-risk-finance-governance,www.meetcpi.com/en/home,2016,82.1,26.5,5.1,10.9,25.8
Heather Paulsen Consulting,certified,Management and Financial Consulting,bcorporation.net/directory/heather-paulsen-consulting,hpaulsenconsulting.com,2017,115.0,51.8,13.2,10.0,
Heather Paulsen Consulting,certified,Management and Financial Consulting,bcorporation.net/directory/heather-paulsen-consulting,hpaulsenconsulting.com,2015,90.5,34.3,8.1,7.9,0.0
E-Waste Solutions,certified,Recycling Services & Waste Management,bcorporation.net/directory/e-waste-solutions,www.weee.global,2017,111.5,18.9,55.9,11.4,25.3
LUMNI CHILE,certified,Other,bcorporation.net/directory/lumni-chile,lumni.cl/,2016,92.2,11.1,3.4,15.3,21.0
LUMNI CHILE,certified,Other,bcorporation.net/directory/lumni-chile,lumni.cl/,2015,109.6,10.6,4.8,20.1,25.7
LUMNI CHILE,certified,Other,bcorporation.net/directory/lumni-chile,lumni.cl/,2013,99.3,14.6,4.2,10.2,20.5
LUMNI CHILE,certified,Other,bcorporation.net/directory/lumni-chile,lumni.cl/,2012,89.2,10.0,4.3,10.1,13.9
Sunspot Energy Inc. (o/a Spark Possibilities),certified,Renewable Energy Generation & Installation,bcorporation.net/directory/sunspot-energy-inc-oa-spark-possibilities,www.sparkpossibilities.com,2019,96.8,10.5,24.4,8.9,20.4
Bark Media,certified,Management and Financial Consulting,bcorporation.net/directory/bark-media,www.barkmediaco.com,2018,90.5,49.7,7.7,12.7,
Kosmenko & Co.,certified,Management and Financial Consulting,bcorporation.net/directory/kosmenko-co,www.kosmenko.co,2019,120.3,49.1,13.6,14.1,
Kosmenko & Co.,certified,Management and Financial Consulting,bcorporation.net/directory/kosmenko-co,www.kosmenko.co,2016,116.7,56.5,17.3,5.4,
Worthstone Limited,certified,Other,bcorporation.net/directory/worthstone-limited,www.worthstone.co.uk,2019,84.7,15.3,2.6,19.3,22.0
The Good Tee,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/the-good-tee,www.thegoodtee.com,2019,88.0,39.8,31.6,14.1,
Courrieros,certified,Transportation & Logistics,bcorporation.net/directory/courrieros,www.vaidecourri.com,2016,120.4,58.2,25.9,14.0,22.3
Courrieros,certified,Transportation & Logistics,bcorporation.net/directory/courrieros,www.vaidecourri.com,2014,128.0,70.0,25.3,12.1,20.6
SEQUIL Systems Inc.,certified,Architecture/Design/Planning,bcorporation.net/directory/sequil-systems-inc,sequil.com,2016,102.4,22.8,40.8,13.6,25.2
SEQUIL Systems Inc.,certified,Architecture/Design/Planning,bcorporation.net/directory/sequil-systems-inc,sequil.com,2014,117.9,27.3,53.4,8.3,28.8
SEQUIL Systems Inc.,certified,Architecture/Design/Planning,bcorporation.net/directory/sequil-systems-inc,sequil.com,2012,131.3,24.5,53.2,13.9,39.6
Black Fox Philanthropy LLC,certified,Nonprofit Consulting & Fundraising,bcorporation.net/directory/black-fox-philanthropy-llc,www.blackfoxphilanthropy.com,2018,92.5,28.7,11.1,16.4,21.5
Black Fox Philanthropy LLC,certified,Nonprofit Consulting & Fundraising,bcorporation.net/directory/black-fox-philanthropy-llc,www.blackfoxphilanthropy.com,2016,98.6,35.9,11.7,9.0,11.0
3vectores,certified,Research & Design,bcorporation.net/directory/3vectores,www.3vectores.com,2016,103.6,66.0,8.5,9.9,
3vectores,certified,Research & Design,bcorporation.net/directory/3vectores,www.3vectores.com,2014,104.7,75.2,7.4,11.3,0.0
Business Development Bank of Canada,certified,Other,bcorporation.net/directory/business-development-bank-of-canada-bdc,www.bdc.ca,2017,96.5,22.5,1.8,20.3,40.8
Business Development Bank of Canada,certified,Other,bcorporation.net/directory/business-development-bank-of-canada-bdc,www.bdc.ca,2015,97.8,21.3,3.2,20.5,31.8
Business Development Bank of Canada,certified,Other,bcorporation.net/directory/business-development-bank-of-canada-bdc,www.bdc.ca,2013,97.7,17.3,9.1,19.2,29.9
Vancity Community Investment Bank,certified,Credit Provider,bcorporation.net/directory/vancity-community-investment-bank,www.vancitycommunityinvestmentbank.ca,2017,89.7,18.1,10.9,11.8,33.3
Coast Capital Savings,certified,Credit Provider,bcorporation.net/directory/coast-capital-savings,www.coastcapitalsavings.com,2017,100.9,25.0,4.9,17.6,41.7
Landserv Pty Ltd,certified,Sustainability Consulting,bcorporation.net/directory/landserv-pty-ltd,landserv.com.au,2017,81.0,25.9,20.6,11.4,23.1
Beneficial State Bank,certified,Credit Provider,bcorporation.net/directory/beneficial-state-bank,www.beneficialstate.com,2016,176.0,48.7,20.4,20.9,29.7
Beneficial State Bank,certified,Credit Provider,bcorporation.net/directory/beneficial-state-bank,www.beneficialstate.com,2015,165.4,52.7,17.5,15.9,28.1
Beneficial State Bank,certified,Credit Provider,bcorporation.net/directory/beneficial-state-bank,www.beneficialstate.com,2012,151.8,57.4,10.8,19.7,30.3
PenFinancial Credit Union Limited,certified,Other,bcorporation.net/directory/pen-financial-credit-union-limited,www.penfinancial.com,2018,109.3,36.4,2.2,19.6,37.7
Comercial Epullen Ltda.,certified,Food & Beverage,bcorporation.net/directory/comercial-epullen-ltda,www.terrium.cl,2016,82.8,34.5,13.9,10.4,24.0
Comercial Epullen Ltda.,certified,Food & Beverage,bcorporation.net/directory/comercial-epullen-ltda,www.terrium.cl,2014,88.9,45.4,14.2,11.9,17.3
Comercial Epullen Ltda.,certified,Food & Beverage,bcorporation.net/directory/comercial-epullen-ltda,www.terrium.cl,2012,80.2,41.6,11.0,5.5,22.0
"Karner Blue Capital, LLC",certified,Equity Investor - Developed Markets,bcorporation.net/directory/karner-blue-capital-llc,www.karnerbluecapital.com,2018,96.7,22.3,8.4,10.0,
Mangrove Web Development,certified,IT Software & Services/Web Design,bcorporation.net/directory/mangrove-web-development,mangrove-web.com,2019,91.3,28.2,12.1,15.9,22.2
Mangrove Web Development,certified,IT Software & Services/Web Design,bcorporation.net/directory/mangrove-web-development,mangrove-web.com,2016,80.7,46.1,14.9,7.9,
Brand Solutions Ltda,certified,"Housewares, Home Furnishings, & Accessories",bcorporation.net/directory/brand-solutions-ltda,www.brandsolutions.com.co,2016,83.0,20.6,28.3,13.5,16.9
Brand Solutions Ltda,certified,"Housewares, Home Furnishings, & Accessories",bcorporation.net/directory/brand-solutions-ltda,www.brandsolutions.com.co,2013,81.8,15.0,39.7,5.7,19.2
World Centric,certified,"Housewares, Home Furnishings, & Accessories",bcorporation.net/directory/world-centric,worldcentric.com,2017,124.0,45.1,33.3,18.0,27.6
World Centric,certified,"Housewares, Home Furnishings, & Accessories",bcorporation.net/directory/world-centric,worldcentric.com,2015,120.8,43.2,37.3,16.8,23.5
World Centric,certified,"Housewares, Home Furnishings, & Accessories",bcorporation.net/directory/world-centric,worldcentric.com,2012,115.3,34.7,39.7,11.1,29.6
INDIGENOUS Impact Fashion,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/indigenous-designs-corporation,indigenous.com,2019,96.0,35.6,20.3,14.7,15.6
INDIGENOUS Impact Fashion,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/indigenous-designs-corporation,indigenous.com,2016,129.9,49.2,36.0,16.8,17.9
INDIGENOUS Impact Fashion,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/indigenous-designs-corporation,indigenous.com,2013,133.7,50.0,34.2,17.9,26.3
Eminence Organic Skin Care Inc.,certified,Home & Personal Care,bcorporation.net/directory/eminence-organic-skin-care-inc,eminenceorganics.com,2019,83.3,16.2,20.2,15.3,26.6
Eminence Organic Skin Care Inc.,certified,Home & Personal Care,bcorporation.net/directory/eminence-organic-skin-care-inc,eminenceorganics.com,2016,82.1,23.5,15.7,14.8,28.1
Green Hammer,certified,Design/Build,bcorporation.net/directory/green-hammer,www.greenhammer.com,2017,126.2,44.6,55.4,7.7,18.5
Clover Sonoma,certified,Food & Beverage,bcorporation.net/directory/clover-sonoma,www.cloversonoma.com,2019,100.5,31.6,26.3,14.2,24.6
Clover Sonoma,certified,Food & Beverage,bcorporation.net/directory/clover-sonoma,www.cloversonoma.com,2016,96.9,35.1,29.3,7.6,24.9
Lily's Kitchen,certified,Food & Beverage,bcorporation.net/directory/lilys-kitchen,www.lilyskitchen.co.uk,2017,91.1,22.3,25.6,14.1,29.1
Lily's Kitchen,certified,Food & Beverage,bcorporation.net/directory/lilys-kitchen,www.lilyskitchen.co.uk,2015,86.9,27.7,25.4,8.0,25.8
Habitus Incorporated,certified,Management and Financial Consulting,bcorporation.net/directory/habitus-incorporated,www.habitusincorporated.com,2018,90.5,27.4,13.2,19.4,
Habitus Incorporated,certified,Management and Financial Consulting,bcorporation.net/directory/habitus-incorporated,www.habitusincorporated.com,2016,82.4,21.1,11.1,20.5,
Libro Credit Union,certified,Other,bcorporation.net/directory/libro-credit-union-limited,www.libro.ca,2017,126.0,38.7,5.2,17.0,34.8
"MVP Dairy, LLC",certified,Growers,bcorporation.net/directory/mvp-dairy-llc,mvpdairyllc.com,2019,106.3,13.6,59.1,16.5,14.2
"Stroopies, Inc.",certified,Food & Beverage,bcorporation.net/directory/the-stroopie-co,www.stroopies.com,2018,93.2,49.1,10.4,14.8,18.9
"Stroopies, Inc.",certified,Food & Beverage,bcorporation.net/directory/the-stroopie-co,www.stroopies.com,2016,83.2,48.0,11.1,13.5,10.6
Scratch and Peck Feeds,certified,Other,bcorporation.net/directory/scratch-and-peck-feeds,www.scratchandpeck.com,2017,80.9,21.3,31.5,5.9,22.2
Natura Cosméticos SA,certified,Home & Personal Care,bcorporation.net/directory/natura-cosmeticos-sa,www.natura.com.br,2014,108.4,25.0,52.8,10.6,20.0
Ian Martin Group,certified,HR Consulting & Recruiting,bcorporation.net/directory/ian-martin-group,ianmartin.com,2018,109.8,41.8,11.3,22.0,34.6
Ian Martin Group,certified,HR Consulting & Recruiting,bcorporation.net/directory/ian-martin-group,ianmartin.com,2016,109.6,40.6,10.4,22.4,35.9
Ian Martin Group,certified,HR Consulting & Recruiting,bcorporation.net/directory/ian-martin-group,ianmartin.com,2014,104.8,50.4,7.2,18.5,28.5
Ian Martin Group,certified,HR Consulting & Recruiting,bcorporation.net/directory/ian-martin-group,ianmartin.com,2012,86.5,36.3,4.9,12.8,32.3
ESPERTA Srl SB,certified,Home & Personal Care,bcorporation.net/directory/esperta-srl-sb,www.espertasrl.com,2019,85.4,10.6,24.7,13.8,29.8
Kit Urbano,certified,IT Software & Services/Web Design,bcorporation.net/directory/kit-urbano,www.kiturbano.com,2017,97.7,36.7,7.9,14.6,38.5
OMPLIM GESTIO I EDIFICACIO RESPONSABLE SL,certified,Real Estate Development,bcorporation.net/directory/omplim-gestio-i-edificacio-responsable-sl,www.omplim.cat,2019,83.4,38.0,9.6,15.5,17.9
Emzingo,certified,Education & Training Services,bcorporation.net/directory/emzingo,www.emzingo.com,2017,99.6,16.0,0.0,12.2,21.9
Emzingo,certified,Education & Training Services,bcorporation.net/directory/emzingo,www.emzingo.com,2015,86.2,15.4,4.9,8.3,28.0
This is L. Inc.,certified,Other,bcorporation.net/directory/l-inc,www.thisisl.com,2018,100.8,28.5,28.1,16.6,20.4
This is L. Inc.,certified,Other,bcorporation.net/directory/l-inc,www.thisisl.com,2016,116.9,53.3,18.4,8.0,21.6
This is L. Inc.,certified,Other,bcorporation.net/directory/l-inc,www.thisisl.com,2013,128.3,83.9,9.6,12.2,0.0
Garc SpA,certified,Design/Build,bcorporation.net/directory/garc-sp-a,www.garc.it,2019,90.4,22.8,33.4,8.6,21.9
Teterum SL,certified,Food & Beverage,bcorporation.net/directory/teterum-sl,www.teterum.es,2018,87.9,27.0,14.6,17.8,
Teterum SL,certified,Food & Beverage,bcorporation.net/directory/teterum-sl,www.teterum.es,2016,91.7,43.1,6.0,12.6,0.0
Voice Communications Limited,certified,Other,bcorporation.net/directory/voice-communications-limited,www.voicecommunications.co.uk/,2019,81.1,17.1,7.4,14.5,25.1
LUXTRA,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/luxtra,www.luxtralondon.com,2019,91.9,67.0,8.3,14.1,
