name,website,chooseCrueltyFreeVegan,
100% Natural Soapnuts Australia ,soapnuts.net.au/,true,Cleaning/Household,
AHRIA Organics ,ahriaorganics.com/,true,"Skin Care, Baby Care",
ANAR Australia ,anaraustralia.com.au/,true,"Baby Care, Skin Care",
ANNOD Natural Skincare ,annod.com.au/,true,Skin Care,
AZURA ,opulencecosmetics.com.au/,false,Make-Up,
Abundant Natural Health ,abundantnaturalhealth.com/,false,Skin Care,
Adorn Cosmetics ,adorncosmetics.com.au/,true,"Make-Up, Skin Care",
Aesthetics Rx ,aestheticsrx.com.au/,false,Skin Care,
Ageless Flawless Skin Naturally ,agelessflawlessskin.com.au/,true,Skin Care,
Alexami Cosmetics ,alexami.com/,false,"Make-Up, Skin Care, Soap",
Amaris Botanicals ,,true,Skin Care,
Andalou Naturals ,andalou.com/,false,"Deodorant, Hair Care, Hair Removal, Men's Range, Skin Care, Sunscreen",
Apteka ,apteka.com.au/,true,Hair Care,
Aromacare ,aromacare.com.au/,false,"Animal Care, Aromatherapy and Massage,Skin Care, Soap, Haircare",
Aromae ,aromae.com.au/shop/,false,"Aromatherapy and Massage, Hair Care, Men's Range, Skin Care, Soap",
Aromatic Essentials ,aromaticessentials.com.au/,true,"Animal Care, Baby Care, Deodorant, Perfume, Hair Care, Skin Care",
Ausganica ,ausganica.com/,false,"Baby Care, Deodorant, Perfume, Hair Care, insect repellent, Make-Up, Men's Range, Skin Care, Toothpaste",
AusieOlive ,ausieolive.com.au/home.php,false,"Baby Care, Hair Care, Men's Range, Skin Care, Soap",
Aussie Inked ,aussieinked.com.au/,false,Skin Care,
Australian Natural Soap Company  pof,theaustraliannaturalsoapcompany.com.au/,true,"Perfume, Skin Care, Soap",
Australian Pure ,naturesorganics.com.au/,true,Skin Care,
Australis ,australiscosmetics.com.au/,false,"Make-Up, Nail Care, Skin Care",
BAE Vegan Perfume & Oils  pof,baeveganperfume.indiemade.com/,true,"Aromatherapy and Massage, Perfume",
Babe Australia ,babeaustralia.com/,false,Skin Care,
Badger Balm ,badgerbalm.com/,false,"Baby Care, Skin Care, Sunscreen",
Be genki ,begenki.com/,true,"Aromatherapy and Massage, Skin Care",
