"1&1 IONOS, Inc.",Technology & Telecom,155%,KS,6/9/2009
1010 Massachusetts Ave. Condo Unit Owners Association,Real Estate,100%,DC,6/1/2012
121 Associates Limited Partnership,Real Estate,100%,MD,5/9/2014
"3M / Austin, TX Facilities",Consumer Products,46%,TX,7/9/2001
Abilene Christian University,Education (Higher),100%,TX,12/2/2019
Academy of Natural Sciences,Non-Profit (NGO),102%,PA,9/30/2015
Accredo Packaging,Printing & Packaging,100%,TX,7/30/2009
Acer America Corporation,Technology & Telecom,107%,CA,9/26/2014
ACME Feed & Seed,Restaurants & Cafes,100%,TN,10/20/2015
Advanced Steel Solutions,Industrial Goods & Srvcs.,100%,TX,4/18/2017
"Advantest America, Inc.",Technology & Telecom,80%,CA,6/15/2012
Adventist HealthCare,Health Care,10%,MD,10/21/2010
Ahold USA,Retail,20%,MA,12/21/2011
"Alameda County, CA / GSA Facilities","Govt. (Local, Municipal)",20%,CA,8/6/2002
"Albertsons Companies, Inc. / Select Locations",Retail,13%,CA,9/1/2005
"Alcatraz Cruises, LLC",Recreation,100%,CA,5/28/2010
"ALDI, Inc.",Retail,103%,OH,10/24/2019
Allegheny College,Education (Higher),100%,PA,9/20/2006
Allergan,Health Care,9%,CA,3/29/2013
"Allied Printing Services, Inc.",Printing & Packaging,118%,CT,9/4/2018
Alpine Bank,Banking & Fin. Srvcs.,100%,CO,3/18/2009
Alston & Bird LLP,Legal Services,70%,CA,9/6/2013
Altria / Center for Research & Technology,Consumer Products,55%,VA,3/30/2011
Aluminum Shapes LLC,Industrial Goods & Srvcs.,35%,NJ,3/3/2011
"Alvin L. Aubinoe, Inc.",Real Estate,100%,MD,1/17/2012
AMD,Technology & Telecom,60%,CA,10/15/2001
American Airlines Group / Texas,Transportation,100%,TX,10/5/2015
American Carnival Mart,Consumer Products,57%,MO,8/25/2012
American Chemical Society,Non-Profit (NGO),100%,DC,10/16/2008
American Express,Banking & Fin. Srvcs.,88%,NY,10/29/2014
American University,Education (Higher),107%,DC,1/26/2005
"AmeriChem Systems, Inc.",Industrial Goods & Srvcs.,50%,IL,11/6/2018
Americraft Cookware,Consumer Products,100%,FL,4/2/2013
Amma Grocery Store,Retail,100%,TX,6/2/2017
Amphitheater Public Schools,Education (K-12),67%,AZ,11/11/2016
Amway,Consumer Products,57%,MI,5/10/2007
"Andean Naturals, Inc.",Ag. & Nat. Resources,100%,CA,4/8/2016
Angels in Goliad RV Park,Hotels & Lodging,100%,TX,12/1/2017
"Anheuser-Busch Companies, LLC",Wineries & Breweries,58%,MO,3/12/2018
Apex Ventures-- Elevation Burger Texas,Restaurants & Cafes,100%,TX,11/8/2017
Appaloosa Grill,Restaurants & Cafes,100%,CO,12/8/2015
Apple Inc.,Technology & Telecom,101%,CA,9/12/2003
"Applied Materials, Inc.",Technology & Telecom,39%,CA,2/14/2006
Aqua America Inc.,Industrial Goods & Srvcs.,6%,PA,1/28/2013
Arizona Lithographers,Printing & Packaging,96%,AZ,11/19/2008
Arizona State University,Education (Higher),87%,AZ,3/21/2018
Arlington County Public Schools,Education (K-12),9%,VA,12/7/2012
"Arlington County, VA","Govt. (Local, Municipal)",30%,VA,9/12/2002
Armstrong World Industries / Building 701,Consumer Products,86%,PA,5/16/2007
Aromafloria,Consumer Products,100%,NY,3/13/2007
Ashland Food Cooperative,Retail,130%,OR,10/30/2018
"ASHP Wichita Falls, LLC",Real Estate,100%,TX,8/17/2015
AstraZeneca,Health Care,54%,DE,12/19/2007
"AT&T Services, Inc. / Austin, Texas Facilities",Technology & Telecom,9%,TX,8/10/2011
"Atlas Distributing, Inc.",Food & Beverage,54%,MA,11/6/2014
Austin (TX) Independent School District,Education (K-12),14%,TX,10/1/2003
Austin College,Education (Higher),100%,TX,12/20/2016
"Autodesk, Inc.",Technology & Telecom,100%,CA,8/1/2012
Avalon International,Retail,100%,TX,9/9/2015
Babson College,Education (Higher),5%,MA,5/15/2012
Backyard Bowls,Restaurants & Cafes,100%,CA,3/11/2015
Bank of America,Banking & Fin. Srvcs.,109%,NC,7/6/2017
Bard College,Education (Higher),10%,NY,6/2/2016
Batdorf & Bronson Coffee Roasters,Food & Beverage,100%,WA,7/5/2001
Bates College,Education (Higher),100%,ME,11/2/2017
Baxter International Inc.,Health Care,30%,IL,3/8/2019
Bay State Envelope,Printing & Packaging,100%,MA,1/25/2019
Bayer US Crop Science,Other,12%,MO,2/20/2003
Baywood Hotels / Hampton Inn & Suites Washington DC North/Gaithersburg,Hotels & Lodging,35%,MD,7/15/2014
BCI Burke,Consumer Products,100%,WI,4/21/2009
BCT-Denver,Printing & Packaging,100%,CO,12/30/2015
BD,Health Care,23%,NJ,10/21/2008
"Bearded Iris Brewing Company, LLC",Wineries & Breweries,100%,TN,4/26/2016
Bel Aire Diner,Restaurants & Cafes,100%,NY,6/13/2017
Ben's Chili Bowl / H St. NE,Restaurants & Cafes,100%,DC,10/12/2015
Ben's Chili Bowl / U St. NW,Restaurants & Cafes,90%,DC,4/24/2014
Ben's Next Door,Restaurants & Cafes,100%,DC,4/24/2014
Bentall Kennedy,Real Estate,100%,WA,11/18/2009
Bentley University,Education (Higher),104%,MA,9/21/2012
Berrywine Plantations dba Linganore Winecellars,Wineries & Breweries,100%,MD,2/7/2011
Best Buy,Retail,43%,MN,11/1/2010
Bethesda Co-op,Retail,89%,MD,12/1/2008
"Beveridge & Diamond, P.C.",Legal Services,107%,DC,6/1/2007
"Big Blue Properties, LLC",Real Estate,100%,TX,7/27/2018
Biogen,Health Care,100%,MA,4/19/2016
Biokleen,Consumer Products,100%,WA,12/10/2013
Bistro Menil,Restaurants & Cafes,100%,TX,6/29/2017
Bixby School,Education (K-12),100%,CO,12/8/2015
Black Restaurant Group,Restaurants & Cafes,100%,MD,1/4/2013
"Blake's Auto Body / Rohnert Park, Novato, Santa Rosa CA Locations",Automotive,85%,CA,8/2/2002
Bloomberg LP,Media & Publishing,51%,NY,1/6/2009
Blue Lake Rancheria,Tribal Nation,23%,CA,12/19/2017
BMO Harris Bank,Banking & Fin. Srvcs.,100%,IL,5/5/2010
"BMW Manufacturing Co. / Greer, SC Facilities",Automotive,20%,SC,9/23/2003
BNY Mellon,Banking & Fin. Srvcs.,113%,NY,5/29/2009
"Borough of State College, PA","Govt. (Local, Municipal)",100%,PA,7/7/2011
"Borough of Swarthmore, PA","Govt. (Local, Municipal)",100%,PA,10/22/2007
Boston Architectural College,Education (Higher),100%,MA,8/8/2011
Boston Red Sox,Sports Teams & Venues,100%,MA,5/21/2018
Boulder Associates,Architecture Srvcs.,100%,CO,6/10/2005
Bouldin Creek Cafe,Restaurants & Cafes,100%,TX,1/15/2016
"Boutwell, Owens & Co., Inc",Printing & Packaging,100%,MA,1/14/2010
"BriarPatch Cooperative of Nevada County, Inc.",Retail,45%,CA,12/2/2016
