1,Walmart,http://www.walmart.com/,4,1,3,1,2,2.2,"Walmart built a warehouse on top of sacred land near Teotihuacan's Moon Pyramid despite public outcry, and there is evidence Walmart bribed government officials to change the building codes to allow this. In 2019, they finally paid a fine equivalent to 0.05% of their revenue for that year for admiting to violating federal anti-bribery law in Brazil, yet are still allowed to operate there. In 2017, Walmart contributed to the labor abuse of 4 toy manufactorers in China affecting workers with low wages, excessive overtime, dangerous work environments and poor living conditions. In India, fabric is sourced from mills using forced child labour. Scored 2nd to worst in mineral mining practices for jewelry retail. Landed on 2018's top 10 corporate Criminals list for its treatment of employees and enabling of gender-based violence on workers in garment supplier factories in Asia. Scored 18.7/100 on its IPE Green Supply Chain practices, and is one of the world's worst plastic polluters. Scored 39% on the Forest 500 company rankings. If not sustainably sourced, palm oil is harvested from Bornean rainforests, which causes the destruction of Orangutan habitat. In this case, Walmart scored a sustainable palm oil source rating of 13.3/22, which is average. Major plastic polluter. Sources unsustainable cotton. 22.7% on Corporate Human Rights Benchmark.",http://stuppid.com/walmart-building-supercenter-next-to-sacred-historical-site/ https://chicago.cbslocal.com/2012/12/19/opinion-walmart-bribery-and-mexico-2/ https://www.latimes.com/business/la-fi-walmart-foreign-bribes-penalties-20190620-story.html https://enoughproject.org/reports/demand-the-supply http://wwwen.ipe.org.cn/GreenSupplyChain/CITIDetail.aspx?id=17 https://www.breakfreefromplastic.org/globalbrandauditreport2018/ https://forest500.org/rankings/companies https://www.ethicalconsumer.org/palm-oil/brands-companies-use-palm-oil https://www.asyousow.org/report-page/waste-and-opportunity-2020-searching-corporate-leadership https://wwf.panda.org/wwf_news/?269811/Top-brands-failing-on-cotton-sustainability https://www.corporatebenchmark.org/ https://palmoilscorecard.panda.org/check-the-scores/all ,https://blog.humanesociety.org/2015/05/walmart-animal-welfare-news.html https://fortune.com/2015/05/22/walmart-guidelines-suppliers-antibiotics-animal-treatment/ https://palmoilscorecard.panda.org/check-the-scores/all ,https://www.corporatebenchmark.org/ https://violationtracker.goodjobsfirst.org/parent/walmart http://www.chinalaborwatch.org/report/125  http://www.indianet.nl/pdf/FabricOfSlavery.pdf  https://globalexchange.org/campaigns/corporatecriminals2018/,https://www.thenation.com/article/archive/here-are-all-reasons-walmarts-business-not-sustainable/ https://www.nbcnews.com/think/opinion/walmart-exploits-black-lives-while-paying-lip-service-black-lives-ncna1231493 https://www.npr.org/local/309/2019/04/22/716144085/complaints-allege-racist-hiring-practices-at-walmart-warehouse https://nymag.com/intelligencer/2020/06/essential-workers-arent-impressed-by-corporate-anti-racism.html https://www.papermag.com/walmart-racism-glass-cases-2628200810.html
2,Amazon,http://www.amazon.com/,4,2,2,1,1,2.0,"Amazon has a severely low Forest 500 rating (9%), rates a tier 5 on the 2019 Business Benchmark on Farm Animal Welfare Report (BBFAW) meaning they provide little evidence they are making strides to manage animal welfare in their practices. They have a 16/100 on the S&P global sustainability report and are identified as a company using Uyghur forced labor in China. Amazon has a  low transparency about e-waste and fails to publish restrictions on hazardous chemicals in its devices. They score a 10-20% ranking on Corporate Human Rights Benchmark (CHRB), and have low risk-managaement in global mineral mining and the workers involved, numerous lawsuits involving labor rights and have comitted tax avoidance. ",http://wwwen.ipe.org.cn/GreenSupplyChain/CITI.aspx https://forest500.org/rankings/companies  https://www.greenpeace.org/usa/reports/greener-electronics-2017/ https://forest500.org/rankings/companies  https://www.newsweek.com/top-500-global-companies-green-rankings-2017-18 https://www.spglobal.com/esg/csa/yearbook/ranking/ https://enoughproject.org/reports/demand-the-supply ,https://www.bbfaw.com/media/1788/bbfaw_full-report_2019.pdf,https://www.aspi.org.au/report/uyghurs-sale  https://www.corporatebenchmark.org/ https://issuu.com/fashionrevolution/docs/fr_fashiontransparencyindex2020 http://www.chinalaborwatch.org/report/125 https://enoughproject.org/reports/demand-the-supply ,https://www.sourcingnetwork.org/mining-the-disclosures/ https://www.corporatebenchmark.org/  https://www.ethicalconsumer.org/ethicalcampaigns/boycott-amazon https://enoughproject.org/reports/demand-the-supply
3,Walgreens,http://www.walgreens.com/,,6,5,4,4,4.8,"Walgreens has been making improvements towards sustainability with their recent largescale initiatives to reduce their carbon footprint by 15.3% in 2019. and diverted 93% of their waste from distribution facilities, much of it being safe, unused toiletries, food, and household items donated to Feeding America. Provides free and safe pharmaceutical waste disposal so the drugs do not affect fish and wildlife, which often causes hormone disruptions and reproductive ability downstream via bioaccumulation. Walgreens does test some of their products on animals, and sells cruelty-free and vegan items as well. They recently stopped doing business with coconut milk brands Aroy-D and Chaokoy that were found to abuse monkeys to collect their coconuts. Allegations of ethics law violations and breaches in prescription data. ",https://www.environmentalleader.com/2019/02/walgreens-boots-alliance-carbon/ https://news.walgreens.com/press-releases/general-news/walgreens-to-provide-free-safe-medication-disposal-option-in-all-drugstores-in-2019.htm ,https://patch.com/illinois/deerfield/monkey-abuse-walgreens-drops-coconut-milk-brands-after-expose https://pawsoffbeauty.com/cruelty-free-brands-walgreens/ ,http://walgreenstrategywatch.org/walgreens-indiana/,https://securitytoday.com/articles/2020/03/04/flaw-in-walgreens-app-exposes-prescription-data-for-some-mobile-users.aspx https://www.walgreensbootsalliance.com/sites/www/files/asset/Walgreens-Boots-Alliance-2019-Corporate-Social-Responsibility-Report_2.pdf
4,IKEA,http://www.ikea.com/,,7,4,6,6,6.0,"Ikea is an accredited living wage employer but has poor supply chain management practices. Their environmental reports are not independently verified, and their sourcing of cotton is not transparent. They source factory farmed meat and leather, but have vowed to not use live-plucked feathers for their down material and have increased their plant-based options at their eateries. FSC (Forest Stewardship Council) certified, uses recycled and certified FSC wood, and has made much in strides for their sustainability practices, but their FSC certification has been revoked before and recent reports say they have been using illegally sourced beech wood from Ukraine. IKEA's practices are more in line with fast-furniture, forgoing some ethical practices to produce on a mass scale. IKEA uses two subsidaries that are high-risk for tax-avoidance. Pledged to reach a circular waste model by 2030, and reduced its Carbon footprint by 15% in 2019. If not sustainably sourced, palm oil is harvested from Bornean rainforests, which causes the destruction of Orangutan habitat. In this case, IKEA scored a sustainable palm oil source rating of 19/22, which is well above average.",https://www.ethicalconsumer.org/company-profile/ikea-ltd https://ethical.net/our-changing-climate/why-is-ikea-so-cheap/ https://fsc.org/en/newsfeed/ikea-creating-a-sustainable-world https://www.earthsight.org.uk/flatpackedforests-en https://preview.thenewsmarket.com/Previews/IKEA/DocumentAssets/558164.pdf  https://www.usnews.com/news/top-news/articles/2020-02-27/ikea-reduces-climate-footprint-for-the-first-time https://palmoilscorecard.panda.org/check-the-scores/all ,https://www.ethicalconsumer.org/company-profile/ikea-ltd https://ethical.net/our-changing-climate/why-is-ikea-so-cheap/ http://www.digitaljournal.com/article/267439#comments https://www.ethicalconsumer.org/company-profile/ikea-ltd https://ethical.net/our-changing-climate/why-is-ikea-so-cheap/  http://www.digitaljournal.com/article/267439#comments  https://palmoilscorecard.panda.org/check-the-scores/all ,https://www.livingwage.org.uk/accredited-living-wage-employers,https://ethical.net/our-changing-climate/why-is-ikea-so-cheap/
5,Gap,http://www.gap.com/,5,6,5,4,4,4.8,"Gap uses Uygur slave labor and fails to pay minimum living wage to any worker making their products. They scored a 35.4% on its human rights performance related to sourcing conflict minerals. Contributes to Bangladeshi garment labor abuse. Fails to provide evidence of ethical and sustainable cotton sourcing. Gap sources animal products of leather, wool and exotic animal hair, and does not use fur, down or exotic animal skin, along with banning use of Angora. Gap is a member of the Alliance for Bangladesh Worker Safety, and Make Fashion Circular program. They also place on the Gender-Equality Index (GEI) as a company seeking to improve their transparency with reporting gender-based data such as gender discrimination, equal pay, and sexual harassment reporting. ",https://wwf.panda.org/wwf_news/?269811/Top-brands-failing-on-cotton-sustainability https://directory.goodonyou.eco/brand/gap?_ga=2.215960279.1526967539.1601348762-454555290.1597596211 https://www.ellenmacarthurfoundation.org/our-work/activities/make-fashion-circular/participants ,https://directory.goodonyou.eco/brand/gap?_ga=2.215960279.1526967539.1601348762-454555290.1597596211 https://hsi.org.au/campaign/animal-welfare-5/fur-trade  https://www.peta.org/living/fashion/more-companies-ban-angora/ ,https://www.aspi.org.au/report/uyghurs-sale  https://labourbehindthelabel.org/tailoredwagesuk2019/  https://www.sourcingnetwork.org/mining-the-disclosures/ https://www.somo.nl/branded-childhood/ https://www.asyousow.org/report-page/the-100-most-overpaid-ceos-2020#appendix-a  https://directory.goodonyou.eco/brand/gap?_ga=2.215960279.1526967539.1601348762-454555290.1597596211 https://www.bangladeshworkersafety.org/en/who-we-are/membership ,https://www.sourcingnetwork.org/mining-the-disclosures/ https://www.somo.nl/branded-childhood/ https://www.asyousow.org/report-page/the-100-most-overpaid-ceos-2020#appendix-a  https://directory.goodonyou.eco/brand/gap?_ga=2.215960279.1526967539.1601348762-454555290.1597596211  https://www.bloomberg.com/gei/about/
6,Inditex (Zara),http://www.zara.com/,4,4.0,4.0,2.0,3.0,3.4,"Zara is a fast-fashion giant with a business model that prioritizes heavy micro-seasonality with new weekly arrivals. Evidence shows Zara uses Uygur slave labor, and fails to pay minimum living wage to workers. In India, fabric is sourced from mills using forced child labour. Zara scored a (41-50%) Fashion Transparency rating. That being said, Inditex (a fashion group that owns Zara) began a ""Close the Loop"" program vowing to send nothing to landfills in 2023. This program seeks to exclusively use a circular model to recycle its clothing. As far as animal welfare, Zara does not use fur, angora, and products tested on animals, but does use untraced wool, leather, down, and exotic animal hair. Rates a 2.5/19.5 by WWF's cotton sourcing and traceablility practices, and a 30% on the Forest 500 ranking. They also place on the Gender-Equality Index (GEI) as a company seeking to improve their transparency with reporting gender-based data such as gender discrimination, equal pay, and sexual harassment reporting. ",https://www.inditex.com/our-commitment-to-the-environment/closing-the-loop https://goodonyou.eco/how-ethical-is-zara/ https://forest500.org/rankings/companies ,https://goodonyou.eco/how-ethical-is-zara/ https://www.peta.org/living/personal-care-fashion/more-brands-ban-angora/ https://hsi.org.au/campaign/animal-welfare-5/fur-trade ,https://www.aspi.org.au/report/uyghurs-sale  https://labourbehindthelabel.org/tailoredwagesuk2019/ http://www.indianet.nl/pdf/FabricOfSlavery.pdf  https://www.fashionrevolution.org/about/transparency/  https://goodonyou.eco/how-ethical-is-zara/  https://wwf.panda.org/wwf_news/?269811/Top-brands-failing-on-cotton-sustainability ,https://goodonyou.eco/how-ethical-is-zara/ https://www.bloomberg.com/gei/about/
7,H&M,https://www2.hm.com/,6,6,7,3,3,5.0,"H&M uses Uygur slave labor and fails to pay minimum living wage to workers. They contribute to child labor in Bangladesh, and in India, fabric is sourced from mills using forced child labour. Relies on labor in Cambodia where labor rights are often violated in their manufactoring process. Better Cotton Initiative and Sustainable Apparel Coalition member, and partners with the MacArthur Foundation to transtition to a circular economy.  Recieved a 39% in 2019's Forest 500 rating that analyzes practices their impact on tropical forest commodities. Rated a D Carbon Disclosure Project's Forests Score, which scores transparency in how their practices are working to avoid deforestation in their supply chain. Cruelty free, fur-free, uses RDS (Responsible Down Standard)-certified down, bans Angora, and PETA-vegan-approved for their vegan collections. Scored a 24% on 2019's Human Rights Benchmark.",https://forest500.org/rankings/companies https://www.cdp.net/en/responses/7903  https://bettercotton.org/find-members/  https://apparelcoalition.org/brands-retailers/  https://www.ellenmacarthurfoundation.org/ ,https://www.cdp.net/en/responses/7903 https://features.peta.org/cruelty-free-company-search/  https://hsi.org.au/campaign/animal-welfare-5/fur-trade https://responsibledown.org/find-responsible-down-standard/  https://www.peta.org/living/fashion/more-companies-ban-angora/  https://www.peta.org/living/personal-care-fashion/peta-approved-vegan-logo/ ,https://www.aspi.org.au/report/uyghurs-sale  https://labourbehindthelabel.org/tailoredwagesuk2019/ http://www.indianet.nl/pdf/FabricOfSlavery.pdf  https://www.fashionrevolution.org/about/transparency/  https://goodonyou.eco/how-ethical-is-zara/  https://wwf.panda.org/wwf_news/?269811/Top-brands-failing-on-cotton-sustainability  https://www.somo.nl/branded-childhood/ https://www.aseantoday.com/2019/01/cambodian-garment-factories-improve-conditions-but-rights-violations-continue/  https://betterwork.org/our-partners/brands-retailers/  https://responsible-mica-initiative.com/membership/membership-current-members ,https://www.corporatebenchmark.org/
8,Romwe,http://romwe.com/,1,1,1,1,1,1.0,"Romwe is a fast-fashion giant with extremely poor transparency about how their practices affect others downstream. Considered a ""Fast-Fashion brand to avoid at all costs.""",https://directory.goodonyou.eco/brand/romwe,https://directory.goodonyou.eco/brand/romwe,https://directory.goodonyou.eco/brand/romwe,https://thelaurieloo.com/blog/fast-fashion-brands-to-avoid
9,ASOS,http://asos.com/,3,5.0,5.0,5.0,4.0,4.8,"Fails to pay minimum living wage to workers, scored a 55/100 on the Fashion Transparency Index, which is above average. Participates in The Apparel and Footwear Supply Chain Transparency Pledge. Earned a B grade in mitigating against the risks of worker exploitation in their supply chains from Ethical Fashion Report. Fur-free, banned Angora use. Better Cotton Initiative member",https://baptistworldaid.org.au/resources/2019-ethical-fashion-guide/ https://bettercotton.org/find-members/  https://www.ellenmacarthurfoundation.org/our-work/activities/make-fashion-circular/participants ,https://furfreeretailer.com/ https://www.peta.org/living/fashion/more-companies-ban-angora/ ,https://labourbehindthelabel.org/tailoredwagesuk2019/,https://issuu.com/fashionrevolution/docs/fr_fashiontransparencyindex2020
10,Target,http://target.com/,,5,5,3,4,4.3,"Target rates in the 20-30% range for Corporate Human Rights Benchmark with a poor rating for transparency. They showed poor handling of the 2013 mass data breach and still have not effectively solved the issue that caused it, and has poor workplace ethical guidelines for employees that in 2015 resulted in a fatality and lawsuit. Although our rating is for Target's ethics themselves, some of the most ethical brands Target sells are Method, Burt's Bees, Annie’s Homegrown, TOMS, and Evol. Plans to phase out of mulesed wool (wool removed with the sheep's skin) by 2023. Claims their brand Up&Up is Cruelty-free, but provides no transparency about their animal practices. Does not allow employees to unionize. If not sustainably sourced, palm oil is harvested from Bornean rainforests, which causes the destruction of Orangutan habitat. In this case, Target scored a sustainable palm oil source rating of 9/22, which is poor.",https://chainstoreage.com/target-focuses-sustainability-efforts-energy-packaging-workers https://groundswell.org/6-most-ethical-brands-to-buy-at-target/ https://www.supplychaindive.com/news/sustainability-goals-emissions-target-suppliers-dive-awards/566298/ https://www.rli.uk.com/target-has-hit-the-target-with-new-sustainability-milestone/  https://palmoilscorecard.panda.org/check-the-scores/all ,https://www.crueltyfreekitty.com/cruelty-free-101/target-cruelty-free-filter/ https://www.livekindly.co/mulesed-wool-dropped-target-kmart/ https://www.peta.org/living/personal-care-fashion/targets-top-12-cruelty-free-vegan-makeup-products/ https://palmoilscorecard.panda.org/check-the-scores/all ,https://www.corporatebenchmark.org/ https://www.businessinsider.in/retail/news/target-is-facing-a-labor-board-investigation-after-an-employee-activist-website-was-blocked-from-store-servers-and-flagged-for-hate-and-racism/articleshow/74200069.cms https://www.cnn.com/2019/10/14/business/target-cutting-hours-wage-increase/index.html https://wisconsinexaminer.com/2020/03/17/thousands-of-target-employees-work-over-50-hours-a-week-why-dont-they-get-overtime/ ,https://complianceandethics.org/data-breach-the-5-things-target-did-that-you-shouldnt/ https://www.chuckgallagher.com/2015/02/03/target-sued-ethical-price-humiliating-employee/ https://corporate.target.com/_media/TargetCorp/csr/pdf/2020_corporate_responsibility_report.pdf
