company_name,current_status,b_corp_profile,website,assessment_year,overall_score
"CPI Risk, Finance & Governance",certified,bcorporation.net/directory/cpi-risk-finance-governance,www.meetcpi.com/en/home,2016,82.1
Heather Paulsen Consulting,certified,bcorporation.net/directory/heather-paulsen-consulting,hpaulsenconsulting.com,2017,115
Heather Paulsen Consulting,certified,bcorporation.net/directory/heather-paulsen-consulting,hpaulsenconsulting.com,2015,90.5
E-Waste Solutions,certified,bcorporation.net/directory/e-waste-solutions,www.weee.global,2017,111.5
LUMNI CHILE,certified,bcorporation.net/directory/lumni-chile,lumni.cl/,2016,92.2
LUMNI CHILE,certified,bcorporation.net/directory/lumni-chile,lumni.cl/,2015,109.6
LUMNI CHILE,certified,bcorporation.net/directory/lumni-chile,lumni.cl/,2013,99.3
LUMNI CHILE,certified,bcorporation.net/directory/lumni-chile,lumni.cl/,2012,89.2
Sunspot Energy Inc. (o/a Spark Possibilities),certified,bcorporation.net/directory/sunspot-energy-inc-oa-spark-possibilities,www.sparkpossibilities.com,2019,96.8
Bark Media,certified,bcorporation.net/directory/bark-media,www.barkmediaco.com,2018,90.5
Kosmenko & Co.,certified,bcorporation.net/directory/kosmenko-co,www.kosmenko.co,2019,120.3
Kosmenko & Co.,certified,bcorporation.net/directory/kosmenko-co,www.kosmenko.co,2016,116.7
Worthstone Limited,certified,bcorporation.net/directory/worthstone-limited,www.worthstone.co.uk,2019,84.7
The Good Tee,certified,bcorporation.net/directory/the-good-tee,www.thegoodtee.com,2019,88
Courrieros,certified,bcorporation.net/directory/courrieros,www.vaidecourri.com,2016,120.4
Courrieros,certified,bcorporation.net/directory/courrieros,www.vaidecourri.com,2014,128
SEQUIL Systems Inc.,certified,bcorporation.net/directory/sequil-systems-inc,sequil.com,2016,102.4
SEQUIL Systems Inc.,certified,bcorporation.net/directory/sequil-systems-inc,sequil.com,2014,117.9
SEQUIL Systems Inc.,certified,bcorporation.net/directory/sequil-systems-inc,sequil.com,2012,131.3
Black Fox Philanthropy LLC,certified,bcorporation.net/directory/black-fox-philanthropy-llc,www.blackfoxphilanthropy.com,2018,92.5
Black Fox Philanthropy LLC,certified,bcorporation.net/directory/black-fox-philanthropy-llc,www.blackfoxphilanthropy.com,2016,98.6
3vectores,certified,bcorporation.net/directory/3vectores,www.3vectores.com,2016,103.6
3vectores,certified,bcorporation.net/directory/3vectores,www.3vectores.com,2014,104.7
Business Development Bank of Canada,certified,bcorporation.net/directory/business-development-bank-of-canada-bdc,www.bdc.ca,2017,96.5
Business Development Bank of Canada,certified,bcorporation.net/directory/business-development-bank-of-canada-bdc,www.bdc.ca,2015,97.8
Business Development Bank of Canada,certified,bcorporation.net/directory/business-development-bank-of-canada-bdc,www.bdc.ca,2013,97.7
Vancity Community Investment Bank,certified,bcorporation.net/directory/vancity-community-investment-bank,www.vancitycommunityinvestmentbank.ca,2017,89.7
Coast Capital Savings,certified,bcorporation.net/directory/coast-capital-savings,www.coastcapitalsavings.com,2017,100.9
Landserv Pty Ltd,certified,bcorporation.net/directory/landserv-pty-ltd,landserv.com.au,2017,81
Beneficial State Bank,certified,bcorporation.net/directory/beneficial-state-bank,www.beneficialstate.com,2016,176
Beneficial State Bank,certified,bcorporation.net/directory/beneficial-state-bank,www.beneficialstate.com,2015,165.4
Beneficial State Bank,certified,bcorporation.net/directory/beneficial-state-bank,www.beneficialstate.com,2012,151.8
PenFinancial Credit Union Limited,certified,bcorporation.net/directory/pen-financial-credit-union-limited,www.penfinancial.com,2018,109.3
